City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Nouadhibou,MR,2022-03-27 20:53:09,20.931,-17.0347,66.18,88,100,8.05,overcast clouds
164,Lagoa,PT,2022-03-27 20:53:09,39.05,-27.9833,58.89,85,100,13.0,overcast clouds
165,Fortuna,US,2022-03-27 20:53:10,40.5982,-124.1573,65.93,72,20,8.05,few clouds
166,Zaporizhzhya,UA,2022-03-27 20:53:10,47.8167,35.1833,33.13,45,5,13.29,clear sky
167,Cherskiy,RU,2022-03-27 20:53:10,68.75,161.3,0.48,97,100,7.25,overcast clouds
168,San Cristobal,VE,2022-03-27 20:53:11,7.7669,-72.225,75.38,60,100,4.88,overcast clouds
169,Avarua,CK,2022-03-27 20:51:01,-21.2078,-159.775,82.45,78,20,9.22,few clouds
170,Longyearbyen,SJ,2022-03-27 20:53:12,78.2186,15.6401,8.44,66,20,8.05,few clouds
171,Spornoye,RU,2022-03-27 20:53:13,50.8448,37.2913,25.47,68,61,16.71,broken clouds
172,Noumea,NC,2022-03-27 20:50:18,-22.2763,166.4572,79.0,99,29,10.8,scattered clouds
173,Mnogovershinnyy,RU,2022-03-27 20:53:14,53.9353,139.9242,-0.8,94,84,5.66,broken clouds
174,Piacabucu,BR,2022-03-27 20:53:14,-10.4056,-36.4344,79.77,81,97,9.93,overcast clouds
175,Starachowice,PL,2022-03-27 20:53:15,51.0374,21.0713,40.39,48,17,4.65,few clouds
176,Simao,CN,2022-03-27 20:53:15,22.7886,100.9748,57.02,76,2,2.68,clear sky
177,Bubaque,GW,2022-03-27 20:53:15,11.2833,-15.8333,76.01,70,98,21.72,overcast clouds
178,Kajaani,FI,2022-03-27 20:53:16,64.2273,27.7285,21.25,49,100,8.05,light snow
179,Husavik,IS,2022-03-27 20:49:02,66.0449,-17.3389,24.15,66,53,6.82,broken clouds
180,Victoria,HK,2022-03-27 20:52:04,22.2855,114.1577,65.25,91,100,4.0,moderate rain
181,Anori,BR,2022-03-27 20:53:17,-3.7728,-61.6442,81.27,88,87,2.3,overcast clouds
182,Tahe,CN,2022-03-27 20:53:17,52.3333,124.7333,15.17,94,100,3.38,overcast clouds
183,High Level,CA,2022-03-27 20:53:18,58.5169,-117.136,28.51,59,20,3.44,few clouds
184,Capinzal,BR,2022-03-27 20:53:18,-27.3436,-51.6119,70.43,74,0,3.09,clear sky
185,Rocha,UY,2022-03-27 20:53:18,-34.4833,-54.3333,73.42,40,0,6.02,clear sky
186,Hamilton,US,2022-03-27 20:53:19,39.1834,-84.5333,43.88,45,8,5.01,clear sky
187,Tasiilaq,GL,2022-03-27 20:53:20,65.6145,-37.6368,21.54,83,100,11.99,overcast clouds
188,Poso,ID,2022-03-27 20:53:20,-1.3959,120.7524,77.47,78,100,3.49,overcast clouds
189,Mmathubudukwane,BW,2022-03-27 20:53:20,-24.6,26.4333,72.7,49,32,5.79,scattered clouds
190,Ponta Do Sol,PT,2022-03-27 20:53:21,32.6667,-17.1,62.06,79,12,6.02,few clouds
191,Chapais,CA,2022-03-27 20:53:21,49.7834,-74.8492,8.38,87,100,12.21,light snow
192,Dzan,MX,2022-03-27 20:53:22,20.3833,-89.4667,89.91,22,5,4.59,clear sky
193,Ukiah,US,2022-03-27 20:48:30,39.1502,-123.2078,62.44,68,20,17.27,few clouds
194,Lamballe,FR,2022-03-27 20:53:22,48.4676,-2.5144,53.71,89,76,4.85,broken clouds
195,Pichayevo,RU,2022-03-27 20:53:23,53.2363,42.2032,23.65,90,100,17.0,light snow
196,Comodoro Rivadavia,AR,2022-03-27 20:53:23,-45.8667,-67.5,71.46,21,19,24.16,few clouds
197,Portland,US,2022-03-27 20:49:38,45.5234,-122.6762,67.48,69,100,5.01,overcast clouds
198,Chokurdakh,RU,2022-03-27 20:48:28,70.6333,147.9167,-13.72,100,86,5.75,overcast clouds
199,Taoudenni,ML,2022-03-27 20:53:24,22.6783,-3.9836,90.1,19,34,4.52,scattered clouds
200,Beni,CD,2022-03-27 20:53:25,0.5,29.4667,62.74,98,83,2.59,light rain
201,Nuuk,GL,2022-03-27 20:48:34,64.1835,-51.7216,34.41,64,75,1.14,broken clouds
202,Mikhaylovskoye,RU,2022-03-27 20:53:25,51.8239,79.7172,29.75,98,100,4.38,overcast clouds
203,Tura,IN,2022-03-27 20:53:26,25.5198,90.2201,70.68,53,2,3.8,clear sky
204,Imbituba,BR,2022-03-27 20:53:26,-28.24,-48.6703,71.82,79,8,4.81,clear sky
205,Hasaki,JP,2022-03-27 20:53:27,35.7333,140.8333,48.6,76,100,12.59,overcast clouds
206,Fukue,JP,2022-03-27 20:53:27,32.6881,128.8419,53.37,58,100,7.78,overcast clouds
207,Conde,BR,2022-03-27 20:53:28,-7.2597,-34.9075,80.06,94,75,5.75,broken clouds
208,Bogo,PH,2022-03-27 20:53:28,11.0517,124.0055,77.7,86,17,5.28,few clouds
209,Narsaq,GL,2022-03-27 20:53:28,60.9167,-46.05,33.04,63,100,9.24,overcast clouds
210,Mpongwe,ZM,2022-03-27 20:53:29,-13.5091,28.155,64.81,98,76,3.78,moderate rain
211,Brenham,US,2022-03-27 20:52:18,30.1669,-96.3977,82.81,43,61,12.88,broken clouds
212,Cabedelo,BR,2022-03-27 20:53:29,-6.9811,-34.8339,81.27,83,86,11.03,overcast clouds
213,Kaeo,NZ,2022-03-27 20:50:10,-35.1,173.7833,62.33,90,3,3.67,clear sky
214,Shimanovsk,RU,2022-03-27 20:53:30,52.0,127.7,16.29,80,92,5.1,overcast clouds
215,Soyo,AO,2022-03-27 20:53:31,-6.1349,12.3689,80.85,91,100,10.07,overcast clouds
216,Matara,LK,2022-03-27 20:53:31,5.9485,80.5353,77.27,89,26,5.84,scattered clouds
217,Nara,JP,2022-03-27 20:53:31,34.6851,135.8049,51.49,48,82,9.69,broken clouds
218,Zhangye,CN,2022-03-27 20:53:32,38.9342,100.4517,49.32,17,96,8.84,overcast clouds
219,Mlonggo,ID,2022-03-27 20:53:32,-6.5333,110.7,79.05,84,62,5.48,moderate rain
220,Kitui,KE,2022-03-27 20:53:33,-1.367,38.0106,65.84,92,42,4.74,moderate rain
221,Saint-Augustin,CA,2022-03-27 20:53:33,51.226,-58.6502,33.03,95,100,20.56,overcast clouds
222,Tadine,NC,2022-03-27 20:53:33,-21.55,167.8833,78.03,74,37,13.71,scattered clouds
223,Angoche,MZ,2022-03-27 20:53:34,-16.2325,39.9086,78.01,77,100,6.6,overcast clouds
224,Thompson,CA,2022-03-27 20:53:34,55.7435,-97.8558,10.56,31,0,0.0,clear sky
225,Nagato,JP,2022-03-27 20:53:35,34.3833,131.2,49.19,59,99,19.15,overcast clouds
226,Pindushi,RU,2022-03-27 20:53:35,62.9152,34.58,2.93,97,11,3.31,few clouds
227,Barrow,US,2022-03-27 20:53:36,71.2906,-156.7887,-2.06,90,67,19.33,broken clouds
