City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
152,Tuatapere,NZ,54.61,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
153,Hihya,EG,61.12,clear sky,30.6713,31.588,مضيفة المركز
155,Yulara,AU,93.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
156,Ribeira Grande,PT,59.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
157,Itarema,BR,75.13,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
158,Yuzhno-Kurilsk,RU,40.77,overcast clouds,44.0306,145.8556,Guesthouse Berloga
159,Cape Town,ZA,72.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
160,Havoysund,NO,26.83,light snow,70.9963,24.6622,Arctic View Glamping & Restaurant
161,Russell,US,56.48,clear sky,32.3502,-85.1999,Macs
162,Aswan,EG,68.4,clear sky,24.0934,32.907,Nuba Nile
163,Sambava,MG,83.5,overcast clouds,-14.2667,50.1667,Melrose
164,Karasjok,NO,14.11,scattered clouds,69.4719,25.5112,Karasjok camping AS
165,Castro,BR,58.14,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
166,Jadu,LY,64.54,overcast clouds,31.953,12.0261,امياس للصرافة
168,Hilo,US,71.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
169,Anjozorobe,MG,69.03,overcast clouds,-18.4,47.8667,Mandritsara
171,Saint-Pierre,RE,84.9,broken clouds,-21.3393,55.4781,Lindsey Hôtel
172,Mar Del Plata,AR,55.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
173,Igrim,RU,22.19,light snow,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
174,Bandarbeyla,SO,82.87,clear sky,9.4942,50.8122,JABIR HOTEL
175,Saint George,US,64.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
176,Atherton,GB,47.75,clear sky,53.5237,-2.4935,The Mercury Motel
177,Laguna De Duero,ES,43.39,few clouds,41.5815,-4.7233,Hotel Topacio
178,Vardo,NO,26.38,light snow,70.3705,31.1107,Vardø Hotel AS
179,Lac Du Bonnet,CA,0.55,clear sky,50.2536,-96.0612,Drifter's Inn
180,Riyadh,SA,64.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
182,Punta De Piedra,VE,75.36,overcast clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
184,Padang,ID,87.85,clear sky,-0.9492,100.3543,Mercure Padang
185,Kurilsk,RU,34.39,overcast clouds,45.2333,147.8833,Hotel Ostrov
186,Iqaluit,CA,19.13,light snow,63.7506,-68.5145,Frobisher Inn
187,Urusha,RU,34.21,overcast clouds,54.05,122.9,Dom Otdykha Lokomotivnykh Brigad
188,Petropavlovsk-Kamchatskiy,RU,27.19,light shower snow,53.0452,158.6483,The Hotel Petropavlovsky
189,Okha,RU,27.91,light snow,53.5739,142.9478,Sakhalin-Sfera
191,Dagana,MR,64.47,scattered clouds,16.5165,-15.5068,Quartier Dille koumba fatim thiam
192,Te Anau,NZ,60.37,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
193,Khatanga,RU,3.42,broken clouds,71.9667,102.5,"""Khatanga"""
194,Meulaboh,ID,85.69,few clouds,4.1363,96.1285,Kost Pria
195,Port Hedland,AU,95.05,few clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
196,That Phanom,TH,93.22,few clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
197,Mananara,MG,85.42,clear sky,-16.1667,49.7667,Chez Roger
198,Carira,BR,70.16,scattered clouds,-10.3608,-37.7011,Praca dos motorista
199,Havre-Saint-Pierre,CA,30.56,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
200,Shelburne,CA,25.9,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
201,Sao Lourenco Do Oeste,BR,51.8,clear sky,-26.3592,-52.8511,Poente Hotel
203,Rawson,AR,61.68,clear sky,-43.3002,-65.1023,Hosteria Sampedro
204,Broome,US,35.38,mist,42.2506,-75.833,Chenango Valley State Park
205,Charlottetown,CA,36.55,moderate rain,46.2352,-63.1267,Rodd Charlottetown
206,Longyearbyen,SJ,1.24,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
207,Shenjiamen,CN,54.0,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
209,San Cristobal,VE,66.79,overcast clouds,7.7669,-72.225,Pirineos
210,Fort Nelson,CA,22.59,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
211,Husavik,IS,27.7,light snow,66.0449,-17.3389,Bjarnabúð
213,Porto Velho,BR,75.25,few clouds,-8.7619,-63.9039,Ecos Hotel Conforto
215,Zhuanghe,CN,49.1,clear sky,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
217,Kruisfontein,ZA,61.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
218,Piacabucu,BR,76.95,clear sky,-10.4056,-36.4344,Piaçabuçu News
219,Homer,US,35.8,overcast clouds,59.6425,-151.5483,Beluga Lake Lodge
220,Lake Cowichan,CA,46.6,light rain,48.825,-124.0546,Boutique Waterfront Lodge
221,Hualmay,PE,69.4,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
222,Lebu,CL,54.61,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
223,Port Elizabeth,ZA,67.32,broken clouds,-33.918,25.5701,39 On Nile Guest House
224,Bahia Blanca,AR,60.75,clear sky,-38.7196,-62.2724,Hotel Argos
225,Tulun,RU,26.11,overcast clouds,54.5611,100.5792,Квартира
226,Abbeville,FR,48.16,clear sky,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
227,Tarboro,US,40.91,clear sky,35.8968,-77.5358,SureStay Plus Hotel Tarboro by Best Western
228,Bubaque,GW,75.74,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
229,Hami,CN,60.4,overcast clouds,42.8,93.45,Laoyutang Resort
230,Faya,SA,75.31,clear sky,18.3851,42.4509,املاك خالد الشعشوع
231,Ayorou,NE,80.42,overcast clouds,14.7308,0.9174,Hotel Amenokal
233,Isla Vista,US,55.83,overcast clouds,34.4133,-119.861,Best Western Plus South Coast Inn
236,Tolaga Bay,NZ,60.8,overcast clouds,-38.3667,178.3,Tolaga Bay Motel
237,Pevek,RU,2.98,light snow,69.7008,170.3133,Severnoye Zoloto
238,Pinega,RU,17.89,overcast clouds,64.7001,43.3936,"Gostevoy Dom Ooo ""Pinezh'yeles"""
239,Manali,IN,95.09,clear sky,13.1667,80.2667,Sarathy Lodge
240,Tura,IN,92.88,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
242,Baie-Comeau,CA,29.88,light snow,49.2168,-68.1489,Travelodge by Wyndham Baie-Comeau
244,Kutum,SD,63.12,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
245,Durazno,UY,56.34,scattered clouds,-33.4131,-56.5006,Hotel Santa Cristina
246,Neryungri,RU,26.31,overcast clouds,56.6709,124.6491,Pyat' Zvozd
247,Manokwari,ID,80.49,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
248,Lakhdenpokhya,RU,20.43,clear sky,61.5198,30.1992,Rauhala Place
249,Camacha,PT,58.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
250,Fortuna,US,50.67,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
251,Tsagan Aman,RU,49.19,overcast clouds,47.5639,46.7218,Tirupathi
253,Puerto Del Rosario,ES,60.55,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
254,Namibe,AO,74.7,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
255,Mahajanga,MG,80.62,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
256,Koson,UZ,57.52,clear sky,39.0375,65.585,Jamshid Orziev ning uyi
257,Kamaishi,JP,50.23,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
258,Port Hardy,CA,46.58,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
259,Sinnamary,GF,76.57,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
260,Oswego,US,33.94,overcast clouds,43.4501,-76.1497,S & E Mobile Home Park
261,Manakara,MG,83.66,clear sky,-22.1333,48.0167,La Residence Manakara
262,Santarem,BR,75.33,broken clouds,-2.4431,-54.7083,Hotel Imperador
264,Kushiro,JP,50.95,scattered clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
265,Constitucion,CL,51.37,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
266,Hervey Bay,AU,76.66,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
267,Lucapa,AO,70.47,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
270,Ancud,CL,49.23,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
271,Sao Miguel Do Araguaia,BR,73.06,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
272,Santa Marta,CO,81.9,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
273,Nuevo Progreso,MX,59.54,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
274,Carnarvon,AU,84.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
276,Isangel,VU,79.39,overcast clouds,-19.55,169.2667,Tanna Lodge
